,label,post_origin,post_lang,merged_text
165,n,ukr,uk,"На другий день залишається порожня каструля з-під супу: хоч і поживний, але дуже легкий
На другий день залишається порожня каструля з-під супу: хоч і поживний, але дуже легкий – Все для вас"
166,w,ukr,uk,"Рятувальники опублікували перші відео з місця обстрілу ⤵
З-під завалів врятували дитину: нові деталі ракетного удару по багатоповерхівці в Києві. Фото і відео — New News"
167,w,ukr,uk,"У США вважають, що росія не має достатньо сил для утримання окупованих територій на півдні, оскільки вивела частину своїх військ для підкріплення наступу на Донбасі. Тепер українські партизани мають нові можливості для опору окупаційній владі — йдеться у матеріалі CNN #новини #hromadske
У США вважають, що росія не має достатньо сил для контролю окупованої Херсонщини — CNN | Громадське телебачення"
168,n,ukr,uk,"Така яка є в реальному житті.
""У халаті не катить"": Оля Цибульська влаштувала танці у ванній і нарвалася на критику"
169,w,ukr,uk,"Щодня о 9:00 — загальнонаціональна хвилина мовчання для вшанування пам'яті загиблих унаслідок збройної агресії російської федерації. Від початку широкомасштабного вторгнення рф в Україну внаслідок обстрілів та бомбардувань на Донеччині загинула 531 мирна людина, поранено ще 1366. Наразі невідома кількість жертв російських військових у Маріуполі та Волновасі. На ілюстрації – наслідки ракетного обстрілу російською армією міста Соледар. Збройні формування рф несуть смерть та руйнують цивільну інфраструктуру населених пунктів Донеччини. Пам'ятаймо! #StopRussia #RussiaKillsCivilians"
170,n,ukr,uk,"Віддам б/в душову кабіну 120*150 для ВПО, безкоштовно. Тел. 0688377722"
171,n,ukr,uk,"🤝Від молоді для молоді: групи підтримки у Фастові Молодіжна рада м. Фастів долучилася до проекту «ПОРУЧ» (спільний проєкт Міністерства освіти і науки України, Дитячого фонду ООН (ЮНІСЕФ), Українського інституту когнітивно-поведінкової терапії та ГО «ВГЦ «Волонтер») 🤗Усім важко переживати війну, але дітям і підліткам може бути найважче. Тому ЮНІСЕФ запускає підтримку для підлітків — групи ""ПОРУЧ"", де молодь зможе: ✅Поділитися переживаннями про події навколо. ✅Відчути підтримку інших учасників групи та фахівців. ✅Знайти способи, як підтримувати себе і близьких у складні часи. ✅Просто спілкуватися з однолітками та бути у спільноті людей, які розуміють і підтримують одне одного. 💻Зустрічі відбуватимуться як у офлайн, так і онлайн форматі. Проходитимуть двічі на тиждень впродовж місяця. Кожна зустріч — 90 хвилин. Час зустрічей буде узгоджуватися з учасниками групи. Участь у групах — безкоштовна. В кожній команді буде до десяти учасників та пара ведучих-психологів. 🧐Щоб долучитися, треба заповнити форму та чекати відповіді від координатора проекту. https://forms.gle/JJWnuWUzsU6HHfww7 🤓Шановна молодь, у разі потреби долучайтеся та запрошуйте друзів, які потребують підтримки.
Реєстрації на групи підтримки для дітей та підлітків"
172,n,ukr,uk,"Теракту вдалось запобігти завдяки небайдужим громадянам, які повідомили до поліції про підозрілих осіб
Проти керівництва України готували теракт: у МВС розповіли подробиці"
173,n,ukr,uk,"Вік учасників злочинної групи від 27-ми до 57-ми років. Зорганізувавшись у стійку ієрархічну злочинну групу, вони узгодили єдиний план діяльності. Кожен із фігурантів відповідав за свій напрямок: виготовлення заборонених речовин, постачання прекурсорів, фасування, транспортування та збут
Спецоперація силовиків: затримано злочинну групу з 11 чернівчан, які обладнали нарколабораторію та збували амфетамін | Перший Буковинсь"
174,n,ukr,uk,"⚠ У Верховній Раді ухвалили у першому читанні законопроєкт №7427. Він передбачає відсутність підвищення тарифів на тепло та газ під час війни в Україні. Про це повідомляє Правда.іф з посиланням на твітер Ярослава Железн... /Детальніше на нашому сайті #Тарифинагаз #новинии #війнавукраїні #Події
Тарифи на тепло та газ для українців під час війни не зростатимуть - PRAVDA.IF.UA: Новини твого міста"
175,w,ukr,uk,"👉Повторно звернувся до Президента України Володимира Зеленського щодо того, аби звільнити голову Черкаської обласної державної адміністрації Ігоря Табурця у зв'язку з масштабним розкраданням гуманітарної допомоги🪖. Зокрема, це 1000 бронежилетів, які через Черкаську військову адміністрацію мали бути передані на потреби оборони. Але замість безкоштовної передачі бронежилетів українським захисникам їх намагались продати через мережу супермаркетів «Епіцентр». Завдяки втручанню Служби безпеки України цю кримінальну схему було викрито. Пряма мова СБУ: «СБУ ліквідувала масштабну схему розкрадання гуманітарної допомоги, яка призначалася українським захисникам (відео) За даними слідства, ділки намагались незаконно продати понад 1 тис. бронежилетів на загальну суму понад 12 млн. грн..."". http://surl.li/cbjaq Також, на мою думку, наявні інші підстави звільнення Ігоря Табурця. 📄Публікую копію звернення. ✊Вірю у справедливість! 🇺🇦 Слава Україні! 🇺🇦 . . #АнтонЯценко #Україна #гуманітарнадопомога #UAразом"
176,n,ukr,uk,"У неділю сумська благодійна організація «Разом ми – сила» влаштовує ранкову пробіжку для містян. Це буде вже 10-е тренування, благодійні внески з якого активісти спрямовують на підтримку захисників. Трьох учасників пробіжки очікує екстремальний приз – квиток на катання на вейкборді. 
У Сумах відбудеться благодійна ранкова пробіжка – запрошують усіх охочих"
177,w,ukr,uk,"лукашенко наказав своїм військовим ""взяти під приціл"" українські центри ухвалення рішень
лукашенко наказав своїм військовим ""взяти під приціл"" українські центри ухвалення рішень"
178,n,ukr,uk,"«Браслет шкодить репутації»: Мунтян просив скасувати заставу та зняти браслет, суд відмовив Артур Мунтян досі перебуває на посаді заступника голови Чернівецької ОВА. Усі деталі тут: https://bit.ly/3OhLgt8"
179,w,ukr,uk,"Якщо країна-агресор надалі безкарно захоплюватиме українські території та вбиватиме українців, це може стати прикладом безкарності для інших світових держав. #stoprussia
Зеленський заявив, що безкарність росії може стати прикладом для інших держав"
180,n,ukr,uk,"Найважливіше - знайти того, хто буде обіймати тебе в момент, коли крила складені, очі сумні, а руки опущені ❤"
181,w,ukr,uk,"💪 З'явилися деталі звільнення від окупантів Зміїного острова. Українські війська знищили зенітно-ракетний комплекс ""Тор"" та один маломірний катер. Крім того, самі супротивники висадили в повітря свою реактивну систему залпового вогню
У ЗСУ розкрили подробиці звільнення острова Зміїний: яку техніку втратили окупанти"
182,w,ukr,uk,"А з депутатами що?
Пapтiю - зaбopoнuтu, мaйнo - пepeдaтu дepжaвi! Cyд зaбopoнuв дiяльнicть ОПЗЖ - Пряма мова"
183,n,ukr,uk,"Це більше схоже на меджік!
Схуднути за 7 днів: ефективне та просте тренування"
184,n,ukr,uk,"Дуже смачне листкове тісто всього за 10 хвилин. Тепер тісто в магазині не купую, готую тільки сама!
Дуже смачне листкове тісто всього за 10 хвилин. Тепер тісто в магазині не купую, готую тільки сама! – About Ukraine"
185,n,ukr,uk,"Розповідаємо, які православні свята відзначають у липні і коли необхідно дотримуватися посту
Православний календар: які церковні свята відзначають у липні 2022"
186,w,ukr,uk,"Секретар генради путінської партії ""Єдиної Росії"" Андрій Турчак відвідав Херсон та заявив, що ""Росія тут назавжди"".
Путінський сенатор приїхав у Херсон і каже, що “Росія тут назавжди”"
187,w,ukr,uk,"Захопили! Страшна звістка з Сєвєродонецька – ЗСУ вибили: наступ окупантів триває. Переможемо!
Захопили! Страшна звістка з Сєвєродонецька – ЗСУ вибили: наступ окупантів триває. Переможемо! – Твоє Слово"
188,w,ukr,uk,"(Боєць ЗСУ розкрив головні мотиви ракетних ударів рф по Кременчугу і Києву: “Мстять за те, що…”)
Боєць ЗСУ розкрив головні мотиви ракетних ударів рф по Кременчугу і Києву: “Мстять за те, що…”"
189,n,rus,ru,"11 признаков поддельной косметики, о которых стоит узнать
11 признаков поддельной косметики, о которых стоит узнать"
190,n,rus,ru,"Как консультант в магазине, но только в браузере или приложении поиска.
«Алиса» научилась помогать с выбором смартфонов и бытовой техники - Лайфхакер"
191,n,rus,ru,"Дилеры Lada назвали цены на новые упрощенные Lada Granta. Как выяснил Autonews, первые автомобили можно будет получить уже в ближайшее время. В июле-августе дилеры ждут упрощенные Niva, а затем Vesta и Largus
Сколько будет стоить самая дешевая Lada Granta. Все подробности :: Autonews"
192,w,rus,ru,"Земан сделал заявление насчёт поставок оружия Киеву. Чешский президент Милош Земан выступил за продолжение поставок оружия Киеву. Он заявил, что также необходимо обучать украинских бойцов на территории республики. Также Земан считает необходимым продолжать жёсткую санкционную риторику в отношении России. По его мнению, подобная стратегия ведёт к скорейшему завершению специальной военной операции на Украине."
193,n,rus,ru,"Силовики наведывались в офис к главе района, запретившей украшать буквами Z и V местный Дом культуры Правоохранители приходили в офис к Софье Пугачёвой – члену партии «Яблока» и главе Новоржевского района Псковской области. В июне женщина запретила детям украшать местный Дом культуры ко Дню России буквами Z и V. Своё решение Пугачёва объяснила тем, что символика не вписывалась в тематику события, к тому же, тогда на здании нужно было размещать и «другую точку зрения». После этого местные депутаты подали жалобу в прокуратуру на главу района, назвав её позицию «выстрелом в голову российским военнослужащим». В пресс-службе псковского отделения «Яблока» пояснили, что в отношение Пугачёвой произошёл осмотр помещений в рамках административного дела по статье о дискредитации российской армии. «Софья Пугачева находится на рабочем месте и работает по обычному графику», — сообщили в «Яблоке». В ходе «осмотра» были изъяты служебный ноутбук и личный телефон. Фото: личная страница VK #псков #россия #война #обыск"
194,w,rus,ru,"Западные санкции всё больше ударяют по их же производителям. Как разоряются европейцы и что перестанут производить из-за запрета сотрудничества с Россией, рассказывает политолог Александр Роджерс: https://life.ru/p/1481615"
195,w,rus,ru,"Россия хочет проводить свои «чемпионаты мира». А за границей пик «волны отмены» в спорте миновал ДАННОЕ СООБЩЕНИЕ (МАТЕРИАЛ) СОЗДАНО И (ИЛИ) РАСПРОСТРАНЕНО ИНОСТРАННЫМ СРЕДСТВОМ МАССОВОЙ ИНФОРМАЦИИ, ВЫПОЛНЯЮЩИМ ФУНКЦИИ ИНОСТРАННОГО АГЕНТА, И (ИЛИ) РОССИЙСКИМ ЮРИДИЧЕСКИМ ЛИЦОМ, ВЫПОЛНЯЮЩИМ ФУНКЦИИ ИНОСТРАННОГО АГЕНТА Republic уже писал, в каком катастрофическом состоянии оказался российский спорт после объявления санкций. Все худшее уже, видимо, случилось. Теперь российские спортивные чиновники придумывают, как сохранить хотя бы часть профессионального спорта. Но куда больше делают те спортсмены, что выступают за мир или хотя бы воздерживаются от проправительственных заявлений. Благодаря их активности кое-где россияне смогут участвовать в соревнованиях. А еще помощь российским спортсменам (да и вообще всем россиянам) пришла от Михаила Барышникова, который призвал не приравнивать к Путину любого гражданина России.
Россия хочет проводить свои «чемпионаты мира». А за границей пик «волны отмены» в спорте миновал. Во многом благодаря спортсменам-мирот"
196,n,rus,ru,"🇦🇲 Бердзор – это Армения, и точка: зачем Еревану выполнять заявление от 9 ноября, если его нарушает сам Баку?
Бердзор – это Армения, и точка - armenia.im"
197,n,rus,ru,"Принц тот еще сердцеед. И даже будучи в браке он периодически попадает в сомнительные истории, которые могут ему серьезно подмочить репутацию. 21 июня Уильяму стукнуло 40 лет. По этому случаю вспоминает его романы с разными красотками.
7 девушек принца Уильяма, очаровавших его до Кейт Миддлтон"
198,n,rus,ru,"Семья Гончаровых вошла в тройку лучших по итогам соревнований в рамках фестиваля ""Азарт. Здоровье. Отдых""
Семья главного инженера проекта МУП Водоканал взошла на пьедестал краевых соревнований - AmurMedia"
199,n,rus,ru,Найдены лучшие тактики флирта для мужчин и женщин: https://life.ru/p/1492570
200,w,rus,ru,"Глава Еврокомиссии Урсула фон дер Ляйен анонсировала инициативы по финансированию восстановления Украины. Она назвала это «планом Маршалла для Украины».
Глава ЕК предложила «план Маршалла» для Украины"
201,n,rus,ru,"О чём говорит Рунет во вторник: 🔹В 2021 году общий объем фиксированного интернет-трафика в России вырос на 26% до 78,1 эксабайта; 🔹Российские компании не могут продлить лицензии на ранее приобретённое сетевое оборудование Cisco и серверы IBM; 🔹Правительство Канады запретило экспорт квантовых компьютеров, производственного оборудования и ПО в Россию; ➡️ https://t.me/roskomsvoboda/9055
Roskomsvoboda"
202,n,rus,ru,"«Чихали мы на ваши штрафы»: автохамы Волгограда потеряли страх и совесть. Все фотографии по традиции будут отправлены в ГИБДД.
«Чихали мы на ваши штрафы»: автохамы Волгограда потеряли страх и совесть"
203,n,rus,ru,"На Урале 11-летней девочке выстрелили в голову из пистолета. Силовики возбудили уголовное дело о покушении на убийство.
На Урале 11-летней девочке выстрелили в голову из пистолета"
204,n,rus,ru,"Обаятельный актёр Игорь Старыгин покорил сердца миллионов советских женщин, когда сыграл Костю в фильме “Доживём до понедельника”. Но настоящую славу голубоглазому, утонченному красавцу принесла роль Арамиса в культовом фильме “Д’Артаньян и три мушкетера”. К сожалению, талантливому актёру с аристократической внешностью было отведено всего 63 года, а в последние годы жизни о нем почти забыли. Жил … The post История жизни «советского Арамиса» — актера и красавца-мужчины Игоря Старыгина first appeared on Bomb.
История жизни «советского Арамиса» — актера и красавца-мужчины Игоря Старыгина | Bomb"
205,n,rus,ru,"Источник подтвердил возможность использования наушников в качестве слухового аппарата.
В Сети появились изображения AirPods Pro 2 и подробности о новых функциях - Лайфхакер"
206,n,rus,ru,"Вчера Кирилл Серебренников рассказал, что власти закрыли «Гоголь-центр». Департамент культуры, правда, заявил, что он продолжит работу, но уже с новым руководством — так же, как «Современник» и «Школа современной пьесы», однако уже понятно, что независимого театра в России больше нет. Вот что об этом говорят театральные деятели: http://we.the-village.ru/jB5Qg
«С точки зрения искусства это убийство»"
207,n,rus,ru,"Леонид Арнольдович больше не хочет чиновничать ⚡
Федун хочет покинуть исполком РФС («РБ Спорт»)"
208,n,rus,ru,"Ездим по одним дорогам, а состояние машин разное: в чем особенность обслуживания автопарков в Европе
Ездим по одним дорогам, а состояние машин разное: в чем особенность обслуживания автопарков в Европе"
209,n,rus,ru,"Политологи и депутаты назвали возможных кандидатов в губернаторы Новосибирской области. По их мнению, в нынешней ситуации основной сценарий предполагает выдвижение главного претендента со стороны администрации президента, и это необязательно будет действующий глава Андрей Травников. Они констатировали утрату субъектности региональных элит и гражданского общества. https://tayga.info/178033"
210,w,rus,ru,"‼️Трасс: если Украина не выиграет, последствия для Европы будут серьёзными➡️ https://military.pravda.ru/news/1722588-posledstvija_dlja_evropy/
Если Украина проиграет, последствия для Европы будут серьёзными — Трасс"
211,n,rus,ru,"Хезонья – действительно СуперМарио! ⠀ ✅ №4 в списке лучших скореров сезона ✅ №4 в списке лучших подбирающих сезона ✅ №3 в списке лучших по перехватам в сезоне ✅ MVP регулярного чемпионата ✅ MVP Матча Звезд ✅ Победитель данк-контеста на Матче Звезд ✅ Лучший в УНИКСе по очкам, подборам, перехватам и игровым минутам ⠀ 🎥 @vtbleague"
212,n,rus,ru,"Завершился матч ""Динамо"" — ""Ростов"": https://life.ru/p/1480565"
213,n,rus,ru,"Силовики России, Кыргызстана, Казахстана и Узбекистана ликвидировали международный наркоканал ------- В ходе совместной операции правоохранительные органы РФ, Казахстана, Узбекистана и Киргизии во взаимодействии с департаментом безопасности Почты России пресекли деятельность транснациональной группировки, организовавшей производство и распространение синтетических наркотиков на территории России и в странах Центральной Азии. Об этом заявил глава МВД РФ Владимир Колокольцев, сообщает МВД-Медиа. По предварительным данным, житель Омской области в своем частном доме оборудовал лабораторию по производству раствора, содержащего синтетические наркотики «Альфа-PVP» («Соль»). Почтовыми посылками переправлял его за рубеж и в различные регионы России, маскируя под бытовую химию, машинное масло и другие товары. При этом мужчина использовал поддельные документы. Получатели посылок производили в кустарных лабораториях на территории РФ, Казахстана, Кыргызстана и Узбекистана наркотические вещества с целью дальнейшего сбыта посредством тайников-закладок. «Ликвидированы восемь подпольных нарколабораторий. Изъято 600 литров прекурсоров и около 30 килограммов наркотических средств, что составляет примерно 150 тысяч разовых доз. Стоимость наркотика по ценам черного рынка превышает 280 млн рублей ($5,2 млн). Организатор и участники наркогруппировки задержаны, ведется следствие», — рассказал Колокольцев. Далее по ссылке в первом комментарии 👇"
214,n,rus,ru,"В итальянском чемпионате в этом сезоне Кокорин себя не проявил, зато с лёгкостью снова угодил в скандал. Кому досталось от конфликтного футболиста и когда решится его профессиональная судьба, рассказывает Лайф: https://life.ru/p/1496522"
215,n,rus,ru,"Все мы краснеем перед неудобными фразами родственников за столом: ""а когда дети?"", ""когда замуж?"". Но есть смельчаки, которые готовы противостоять бестактным вопросам. Собрали лучшие ответы: https://life.ru/p/1490037"
216,n,rus,ru,"«Сознаем мы это или нет, но мы ничего так не стыдимся, как отказа от себя, а наивысшую гордость, наивысшее счастье испытываем тогда, когда думаем, говорим и чувствуем подлинно самостоятельно»
Эрих Фромм: «Вера в человечество без веры в человека приводит к бесчеловечности»"
217,n,rus,ru,"В Сириусе забыли, что существует не только набережная моря Но ещё есть набережная и у реки Мзымта. Которую тоже стоит убирать и следить за урнами. @sirius_okrug"
218,n,rus,ru,Ура! Нашла себя на видео гостей нашей вечеринки (слева в салатовом топике) 😅😅😅 #НашивМерсине #Мерсин #ЖизньвМерсине #Турция #ЖизньвТурции #ЖизньVMersine #НашиVMersine
219,n,rus,ru,С июля в Кировской области начнут действовать новые тарифы ЖКХ https://www.newsler.ru/society/2022/06/23/s-iyulya-v-kirovskoj-oblasti-nachnut-dejstvovat-novye-tarify-zhkh
220,n,rus,ru,"Лидер ЛДПР Владимир Жириновский перед смертью говорил о том, что не против того, чтобы быть клонированным.
Жириновский был согласен на клонирование"
221,n,rus,ru,"Крохотный и глазастый фин Симо Хяюхя злил и создавал панику в рядах противника. За Финский конфликт он нейтрализовал пятьсот бойцов. Из-за чего Коммунисты назначили за его голову высокую награду, но никто так и не сумел получить награду. Из охотника в снайперы Так исторически сложилось, что все хорошие снайперы были охотниками. Он с раннего возраста держал … The post Почему СССР охотился за неуловимым финским снайпером first appeared on Bomb.
Почему СССР охотился за неуловимым финским снайпером | Bomb"
222,n,rus,ru,"☦️🇷🇺 Волк Путина Дорогие инопланетяне, если вы меня слышите, пожалуйста заберите меня с этой планеты куда-нибудь, где есть разумная форма жизни! Больше религиозного трэша в телеграм канале «Я&Бал» https://t.me/+vJCBw1jViGY0ZGYy"
223,n,rus,ru,"Работаю промышленным альпинистом, часто вижу котиков в окнах. Выражение их морды, когда они меня замечают - бесценно :) Автор на Пикабу: Gromozekka"
224,n,rus,ru,"К году и двум месяцам колонии общего режима приговорил Пресненский суд Москвы скандально известного блогера Эдуарда Биля, обвиняемого в ДТП на Садовом кольце в апреле прошлого года. Тогда серьезно пострадали несколько человек, а одна потерпевшая попала в реанимацию. Стоит отметить, что это уже второй приговор господину Билю. В первый раз ему назначили лишь ограничение свободы, что категорически не устроило прокуратуру."
225,n,rus,ru,"Политик рассказывает про лагерь строгого режима: 📌 Используйте VPN
Алексей Навальный: Не убивайте никого, пожалуйста"
226,w,rus,ru,"Никулинский районный суд Москвы арестовал доцента МГУ Михаила Лобанова на 15 суток за пост про войну в Украине. Об этом его соратники сообщили в телеграме. Его повезли в спецприемник в Сахарово. Как сообщается в посте, Лобанова обвинили в в «возбуждении ненависти» (статья 20.3.1 КоАП). Такую риторику власти увидели в мартовском посте Лобанова во «ВКонтакте». «Кадыров посылает чеченцев убивать украинцев. Путин нанимает 15 тысяч боевиков на Ближнем Востоке — убивать украинцев. Это ""Русский мир"". Не перепутайте», — написал он. В этом высказывании экспертиза обнаружила «тенденциозно подобранные факты и оценки, направленные на возбуждение вражды и ненависти со стороны русских, россиян и украинцев в отношении чеченцев и мусульман, в том числе выходцев с Ближнего Востока». Кроме того, сотрудники полиции составили на Лобанова два протокола о «дискредитации» российской армии. Первый — из-за плаката «Нет войне» на балконе, а второй — из-за поста о военных. В нем он написал о «выходцах из самых бедных слоев российского общества», которые «гибнут за мечту Путина о ""маленькой победоносной"" спецоперации». Решение по ним еще не вынесли."
227,n,rus,ru,"Пение лесных птиц, Звуки природы. Звуки весенней природы, для отдыха и сна. 12 часов. Ссылка на видео: https://youtu.be/d2pqTRYcRgk Красивый весенний лес, нежные звуки природы живые, поют свои песни птиц, - настоящее блаженство и нега бытия. Приятная лесная атмосфера в весеннем лесу, теплая весенняя погода - и звонкие голоса лесных птиц наполняют все вокруг. Как приятно побывать в весеннем лесу, послушать пение птиц, солнечный день и легкий ветерок. Когда в городе очень шумно и технический шум заполоняет все вокруг, тогда стоит съездить на природу, прогуляться в лесу, посмотреть на красивые лесные пейзажи, насладиться видами леса, подышать свежим воздухом. Но не всегда есть возможность выехать за город, - наше видео с весенним лесом и приятными песнями птиц, помогут вам почувствовать атмосферу леса, насладиться кадрами живой природы. Прогулки в лесу - это мое хобби, люблю смотреть на красивые пейзажи и виды леса, гулять по лесным дорогам, слушать песни птиц, дышать лесным воздухом, это повышает настроение и дает заряд бодрости и позитива. Голоса птиц, песни птиц, - это приятная аудиальная терапия для нашей нервной системы. Когда поют в лесу свои песни птицы, - не на долго забываешь о проблемах, - и настраиваешься на положительное мышление. Птичье пение многим помогает снять стресс, каждая птица поет по-своему, особенно неповторимо, жаворонок, кукушка, сова, канарейка, дрозд, - и другие птицы, это настоящий оркестр дикой природы. Как говорят орнито терапевты, звуки и голоса лесных птиц убирают головную боль, улучшают работу внутренних органов. Человек, слушая как поют птицы, получает заряд бодрости, позитива. Приятная атмосфера весенней лесной природы благоприятно воздействует на нервную систему. Многие люди используют голоса птиц, как фоновые звуки или как белый шум при занятии йогой или при медитации. Мне нравиться, как поют птицы, люблю послушать как поют дрозды, овсянки, канарейки, жаворонки, зяблики, зарянки, - у каждой птицы есть свои интересные звуковые особенности в пении и такт. Поделитесь этим видео с родными и близкими, подарите им немного нежных звуков леса, пение птиц и хорошее настроение. Хорошего вам настроения, приятных эмоций, и крепкого здоровья! Приятного вам просмотра и хорошего отдыха. Это видео длится 12 часов, качество видео 2160p UHD. ~ Чтобы не потерять это видео, которое вы смотрите, нажмите кнопку добавить в плейлист под видео, и это видео появится на вашем канале. Ссылка на видео: https://youtu.be/d2pqTRYcRgk #ПриродазарисовкиЮтуб #Природазарисовки #Природазарисовка #лес #весеннийлес #звукиприроды #песниптиц
Forest Birdsong, Sounds Nature. Sounds of spring nature, for relax, and sleep. 12 hours"
228,n,rus,ru,"300 лет назад, 6 апреля 1722 года, император Петр I подписал указ о проведении освидетельствования «таковым дуракам, что ни в какую науку и службу не годятся», из благородного сословия, воспретив признанным дураками вступать в брак. Однако борьба за очистку элиты от лиц с ментальными особенностями началась еще раньше, когда царь-реформатор запретил жениться молодым дворянам, не освоившим азов математики.
«О свидетельствовании дураков в Сенате»"
229,n,rus,ru,"11 голливудских пар, чья любовь началась на съемочной площадке
11 голливудских пар, чья любовь началась на съемочной площадке"
230,n,rus,ru,"В начальной школе Робба города Ювалде в штате Техас произошла стрельба, стрелок задержан
В Техасе произошла стрельба в начальной школе"
231,w,rus,ru,"День сто двадцать девятый. Беседа с @Alexey Arestovych Алексей Арестович
День сто двадцать девятый. Беседа с @Alexey Arestovych Алексей Арестович"
232,n,rus,ru,"⚡️Умер солист группы «Ласковый май» Юрий Шатунов. Ему было 48 лет. Этой ночью. По словам PR-директора исполнителя, в карете скорой помощи у него остановилось сердце. Певец страдал острой сердечной недостаточностью."
233,n,rus,ru,"Бензин продолжает дешеветь, но уже к июлю на рынке может наступить поворотный момент. Ведущие аналитики рассказали, что сейчас определяет стоимость топлива на заправках и какие цены ждать к началу следующего месяца: https://life.ru/p/1502367"
234,n,rus,ru,"Маринованные огурцы , без уксуса. На маринад для трехлитровой банки: Вода- 1.5 литров Соль - 4 ч.л. Сахар-8ч.л. Полный рецепт по ссылке 👉 https://t.me/zagotovki_2020/850"
235,n,rus,ru,Известные бойцы UFC устроили накануне поединка битву взглядов: https://life.ru/p/1485581
236,n,rus,ru,"🪖 В России более 2 млн ветеранов боевых действий. Это люди, которые выполняли свой воинский долг в условиях, сопряжённых с риском для жизни. Они защищали нашу страну в разных подразделениях и родах войск, но их всех объединяет героизм и любовь к родине. 🗓️ В связи этим депутаты Госдумы от ЛДПР во главе с Леонидом Слуцким готовят законопроект о закреплении 1 июля как День ветеранов боевых действий. Кроме того, многие защитники родины регулярно отмечают этот праздник. 🇷🇺 Его официальное закрепление будет подчёркивать важность ветеранского движения в нашем обществе и способствовать дальнейшему формированию патриотического сознания российских граждан."
